timestamp,pressure_sensor_1,pressure_sensor_2,bend_sensor_1,bend_sensor_2,bend_sensor_3,sensor_pair_1_flag,sensor_pair_2_flag
2024:08:01:10:55:44.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024:08:01:10:55:45.035,0.0,0.0,18.0,18.0,19.0,0.0,0.0
2024:08:01:10:55:45.085,0.0,0.0,35.0,35.0,36.0,0.0,0.0
2024:08:01:10:55:45.135,0.0,0.0,52.0,51.0,54.0,0.0,0.0
2024:08:01:10:55:45.185,0.0,0.0,69.0,68.0,71.0,0.0,0.0
2024:08:01:10:55:45.235,0.0,0.0,86.0,85.0,88.0,0.0,0.0
2024:08:01:10:55:45.285,0.0,0.0,103.0,101.0,106.0,0.0,0.0
2024:08:01:10:55:45.335,0.0,0.0,120.0,118.0,123.0,0.0,0.0
2024:08:01:10:55:45.385,0.0,0.0,137.0,135.0,140.0,0.0,0.0
2024:08:01:10:55:45.435,0.0,0.0,154.0,151.0,158.0,0.0,0.0
2024:08:01:10:55:45.485,0.0,0.0,171.0,168.0,175.0,0.0,0.0
2024:08:01:10:55:45.535,0.0,0.0,188.0,185.0,192.0,0.0,0.0
2024:08:01:10:55:45.585,0.0,0.0,205.0,201.0,210.0,0.0,0.0
2024:08:01:10:55:45.635,0.0,0.0,222.0,218.0,227.0,0.0,0.0
2024:08:01:10:55:45.685,0.0,0.0,239.0,235.0,244.0,0.0,0.0
2024:08:01:10:55:45.735,0.0,0.0,256.0,251.0,262.0,0.0,0.0
2024:08:01:10:55:45.785,0.0,0.0,273.0,268.0,279.0,0.0,0.0
2024:08:01:10:55:45.835,0.0,0.0,290.0,285.0,296.0,0.0,0.0
2024:08:01:10:55:45.885,0.0,0.0,307.0,301.0,314.0,0.0,0.0
2024:08:01:10:55:45.935,0.0,0.0,324.0,318.0,331.0,0.0,0.0
2024:08:01:10:55:45.985,0.0,0.0,341.0,335.0,348.0,0.0,0.0
2024:08:01:10:55:46.035,18.0,17.0,359.0,352.0,367.0,0.0,0.0
2024:08:01:10:55:46.085,35.0,33.0,376.0,369.0,384.0,0.0,0.0
2024:08:01:10:55:46.135,52.0,49.0,393.0,386.0,401.0,0.0,0.0
2024:08:01:10:55:46.185,69.0,65.0,410.0,402.0,419.0,0.0,0.0
2024:08:01:10:55:46.235,86.0,81.0,427.0,419.0,436.0,0.0,0.0
2024:08:01:10:55:46.285,103.0,98.0,444.0,436.0,453.0,0.0,0.0
2024:08:01:10:55:46.335,120.0,114.0,461.0,452.0,471.0,0.0,0.0
2024:08:01:10:55:46.385,137.0,130.0,478.0,469.0,488.0,0.0,0.0
2024:08:01:10:55:46.435,154.0,146.0,495.0,486.0,505.0,0.0,0.0
2024:08:01:10:55:46.485,171.0,162.0,512.0,502.0,523.0,0.0,0.0
2024:08:01:10:55:46.535,188.0,179.0,529.0,519.0,540.0,0.0,0.0
2024:08:01:10:55:46.585,205.0,195.0,546.0,536.0,557.0,0.0,0.0
2024:08:01:10:55:46.635,222.0,211.0,563.0,552.0,575.0,0.0,0.0
2024:08:01:10:55:46.685,239.0,227.0,580.0,569.0,592.0,0.0,0.0
2024:08:01:10:55:46.735,256.0,243.0,597.0,586.0,609.0,0.0,0.0
2024:08:01:10:55:46.785,273.0,260.0,614.0,602.0,627.0,0.0,0.0
2024:08:01:10:55:46.835,290.0,276.0,631.0,619.0,644.0,0.0,0.0
2024:08:01:10:55:46.885,307.0,292.0,648.0,636.0,661.0,0.0,0.0
2024:08:01:10:55:46.935,324.0,308.0,665.0,652.0,679.0,0.0,0.0
2024:08:01:10:55:46.985,341.0,324.0,682.0,669.0,696.0,0.0,0.0
2024:08:01:10:55:47.035,359.0,341.0,700.0,686.0,714.0,0.0,0.0
2024:08:01:10:55:47.085,376.0,357.0,717.0,703.0,732.0,0.0,0.0
2024:08:01:10:55:47.135,393.0,373.0,734.0,720.0,749.0,0.0,0.0
2024:08:01:10:55:47.185,410.0,389.0,751.0,736.0,767.0,0.0,0.0
2024:08:01:10:55:47.235,427.0,405.0,768.0,753.0,784.0,0.0,0.0
